"","sexo","region","edad","yoprcor","s31a1","zona","e6a","o15","yoprcoripc"
"1",1,7,42,1300000,7,1,17,3,1709360.20559989
"2",2,7,34,2100000,7,1,17,3,2761274.17827675
"3",2,7,41,2e+06,7,1,15,3,2629784.93169214
"4",1,7,42,3500000,7,1,15,3,4602123.63046125
"5",1,7,40,1e+06,2,1,13,2,1314892.46584607
"6",2,7,37,1e+06,7,1,13,2,1314892.46584607
"7",1,7,46,2e+06,7,1,15,3,2629784.93169214
"8",2,7,53,7e+05,7,1,9,2,920424.726092249
"9",1,7,31,1500000,7,1,15,1,1972338.69876911
"10",2,7,28,5e+05,7,1,15,1,657446.232923035
"11",1,7,31,5e+05,7,1,15,2,657446.232923035
"12",2,7,27,270000,7,1,15,5,355020.965778439
"13",1,7,49,8e+05,7,1,13,5,1051913.97267686
"14",1,7,42,1500000,7,1,15,5,1972338.69876911
"15",2,7,42,1e+06,7,1,15,4,1314892.46584607
"16",2,7,24,226000,7,1,9,3,297165.697281212
"17",2,7,49,896166,7,1,15,3,1178361.92154741
"18",2,7,40,5e+05,7,1,15,1,657446.232923035
"19",2,7,32,563880,7,1,15,5,741441.563641282
"20",1,7,27,5e+05,7,1,11,5,657446.232923035
"21",1,7,31,381237.006102589,7,1,15,3,501285.667026007
"22",2,7,49,220000,7,1,13,5,289276.342486135
"23",1,7,54,2e+05,7,1,9,2,262978.493169214
"24",1,7,40,7e+05,7,1,9,2,920424.726092249
"25",1,7,66,2e+06,7,1,15,1,2629784.93169214
"26",2,7,67,1e+06,7,1,15,1,1314892.46584607
"27",1,7,40,5e+05,2,1,11,5,657446.232923035
"28",1,7,22,4e+05,7,1,9,5,525956.986338428
"29",2,7,30,2e+05,7,1,15,5,262978.493169214
"30",1,7,55,272000,7,1,9,3,357650.750710131
"31",1,7,23,272000,7,1,11,5,357650.750710131
"32",1,7,56,3e+05,7,1,11,4,394467.739753821
"33",1,7,49,5e+05,7,1,15,2,657446.232923035
"34",2,7,37,270000,7,1,13,5,355020.965778439
"35",1,7,26,270000,7,1,9,5,355020.965778439
"36",1,7,30,270000,7,1,9,5,355020.965778439
"37",1,7,29,1e+05,7,1,14,2,131489.246584607
"38",2,7,49,270000,7,1,9,1,355020.965778439
"39",2,7,54,560000,7,1,15,4,736339.780873799
"40",1,7,56,8e+05,7,1,13,1,1051913.97267686
"41",2,7,49,8e+05,7,1,15,4,1051913.97267686
"42",2,7,56,7e+05,7,1,13,5,920424.726092249
"43",1,7,29,9e+05,7,1,15,5,1183403.21926146
"44",2,7,52,320000,7,1,7,6,420765.589070742
"45",1,7,60,250000,7,1,11,5,328723.116461518
"46",2,7,40,450000,7,1,99,2,591701.609630732
"47",1,7,33,258000,7,1,99,5,339242.256188286
"48",1,7,35,1200000,7,1,17,3,1577870.95901528
"49",1,7,37,5e+05,7,1,13,3,657446.232923035
"50",2,7,37,1200000,7,1,16,3,1577870.95901528
"51",1,7,27,1200000,7,1,15,5,1577870.95901528
"52",1,7,25,445000,7,1,11,5,585127.147301501
"53",2,7,26,250000,7,1,14,5,328723.116461518
"54",1,7,60,1e+06,7,1,15,3,1314892.46584607
"55",2,7,62,1500000,7,1,17,3,1972338.69876911
"56",2,7,31,480000,7,1,12,5,631148.383606114
"57",1,7,45,1200000,7,1,15,5,1577870.95901528
"58",2,7,39,490000,7,1,15,2,644297.308264575
"59",1,7,34,4e+05,1,1,14,5,525956.986338428
"60",1,7,52,1500000,7,1,14,1,1972338.69876911
"61",1,7,26,5e+05,7,1,14,2,657446.232923035
"62",1,7,43,5e+05,7,1,13,2,657446.232923035
"63",2,7,48,320000,7,1,12,5,420765.589070742
"64",1,7,61,6e+05,7,1,14,1,788935.479507642
"65",1,7,52,4e+05,7,1,13,4,525956.986338428
"66",1,7,44,4e+05,7,1,9,2,525956.986338428
"67",2,7,63,120000,1,1,9,2,157787.095901528
"68",2,7,54,2e+05,7,1,7,2,262978.493169214
"69",1,7,51,3e+05,7,1,7,2,394467.739753821
"70",2,7,47,467931,7,1,9,5,615278.946435818
"71",1,7,28,342114,7,1,9,5,449843.121060462
"72",1,7,22,275000,7,1,9,3,361595.428107669
"73",2,7,65,1e+05,1,1,1,5,131489.246584607
"74",2,7,40,2e+05,7,1,7,2,262978.493169214
"75",2,7,31,385000,7,1,11,3,506233.599350737
"76",1,7,35,364992,7,1,9,5,479925.230894089
"77",1,7,28,5e+05,7,1,14,5,657446.232923035
"78",1,7,49,380000,7,1,9,5,499659.137021507
"79",2,7,46,390000,7,1,9,5,512808.061679967
"80",1,7,27,1223125,7,1,15,3,1608277.84728797
"81",2,7,33,6e+05,7,1,15,3,788935.479507642
"82",1,7,28,624390,7,1,15,5,821005.706749628
"83",1,7,59,270000,5,1,7,5,355020.965778439
"84",1,7,48,1e+05,7,1,7,2,131489.246584607
"85",2,7,38,381237.006102589,7,1,9,2,501285.667026007
"86",1,7,58,2e+05,7,1,11,1,262978.493169214
"87",1,7,55,150000,7,1,7,5,197233.869876911
"88",1,7,30,1400000,7,1,15,5,1840849.4521845
"89",1,7,44,4e+05,7,1,9,4,525956.986338428
"90",1,7,20,4e+05,7,1,14,5,525956.986338428
"91",1,7,36,6e+05,7,1,11,5,788935.479507642
"92",1,7,44,350000,7,1,9,5,460212.363046125
"93",1,7,74,5e+05,7,1,8,5,657446.232923035
"94",2,7,38,160000,7,1,11,5,210382.794535371
"95",1,7,66,3e+05,7,1,8,3,394467.739753821
"96",1,7,62,360000,7,1,9,3,473361.287704585
"97",1,7,26,340000,7,1,11,5,447063.438387664
"98",1,7,51,865611,7,1,9,5,1138185.38225348
"99",2,7,27,504787,7,1,15,4,663740.62315704
"100",2,7,23,270000,7,1,13,5,355020.965778439
"101",2,7,35,410000,7,1,13,5,539105.910996889
"102",1,7,46,340000,7,1,7,5,447063.438387664
"103",2,7,63,18000,7,1,11,2,23668.0643852293
"104",1,7,23,46000,7,1,14,5,60485.0534289192
"105",2,7,56,3e+05,7,1,9,2,394467.739753821
"106",2,7,27,2e+05,7,1,15,2,262978.493169214
"107",1,7,63,3e+05,7,1,9,2,394467.739753821
"108",1,7,37,270000,7,1,13,2,355020.965778439
"109",2,7,35,7e+05,7,1,9,5,920424.726092249
"110",1,7,64,5e+05,7,1,15,5,657446.232923035
"111",1,7,44,5e+05,7,1,13,5,657446.232923035
"112",2,7,38,5e+05,7,1,13,4,657446.232923035
