"","sexo","region","edad","yoprcor","s31c1","zona","e6a","o15","yoprcoripc"
"1",1,7,69,331682.693154403,7,1,15,2,458060.44326665
"2",2,7,40,170000,7,1,17,4,234773.405313255
"3",1,7,42,150000,7,1,15,5,207153.004688166
"4",1,7,30,8e+05,7,1,9,5,1104816.02500355
"5",2,7,35,4e+05,7,1,15,3,552408.012501776
"6",2,7,36,227000,7,1,14,5,313491.547094758
"7",2,7,24,340000,7,1,13,5,469546.810626509
"8",1,7,45,350000,7,1,9,5,483357.010939054
"9",2,7,44,250000,7,1,9,7,345255.00781361
"10",1,7,24,27000,7,1,14,3,37287.5408438699
"11",1,7,51,780000,7,1,14,5,1077195.62437846
"12",2,7,76,2500000,7,1,14,2,3452550.0781361
"13",2,7,45,5e+05,7,1,15,5,690510.01562722
"14",1,7,30,1e+06,7,1,14,1,1381020.03125444
"15",2,7,30,5e+05,7,1,15,1,690510.01562722
"16",2,7,30,950000,7,1,17,3,1311969.02969172
"17",2,7,44,330000,7,1,14,5,455736.610313965
"18",1,7,59,630000,6,1,11,3,870042.619690297
"19",2,7,52,305000,7,1,11,3,421211.109532604
"20",1,7,27,630000,6,1,15,3,870042.619690297
"21",2,7,50,90000,7,1,11,7,124291.8028129
"22",2,7,22,2e+05,7,1,12,5,276204.006250888
"23",2,7,50,250000,6,1,11,5,345255.00781361
"24",1,7,64,4e+05,7,1,11,2,552408.012501776
"25",2,7,39,7e+05,7,1,9,3,966714.021878108
"26",1,7,48,1e+06,7,1,15,5,1381020.03125444
"27",1,7,27,250000,1,1,9,2,345255.00781361
"28",2,7,60,7e+05,7,1,15,3,966714.021878108
"29",1,7,60,7e+05,7,1,15,5,966714.021878108
"30",1,7,22,10000,7,1,9,2,13810.2003125444
"31",1,7,17,3000,1,1,7,2,4143.06009376332
"32",1,7,21,10000,7,1,7,2,13810.2003125444
"33",2,7,52,250000,7,1,9,2,345255.00781361
"34",2,7,53,150000,7,1,9,2,207153.004688166
"35",1,7,70,3e+05,1,1,10,1,414306.009376332
"36",1,7,45,6e+05,7,1,13,5,828612.018752664
"37",1,7,54,245000,7,1,9,2,338349.907657338
"38",1,7,40,195700,7,1,9,5,270265.620116494
"39",1,7,68,2e+06,7,1,13,5,2762040.06250888
"40",1,7,36,5e+05,7,1,13,5,690510.01562722
"41",2,7,58,625000,7,1,15,5,863137.519534025
"42",1,7,50,250000,7,1,7,5,345255.00781361
"43",1,7,68,6e+05,7,1,15,3,828612.018752664
"44",1,7,47,380000,7,1,12,5,524787.611876687
"45",2,7,50,350000,7,1,9,2,483357.010939054
"46",1,7,33,250000,7,1,9,5,345255.00781361
"47",2,7,25,230000,7,1,11,5,317634.607188521
"48",1,7,61,350000,7,1,11,5,483357.010939054
"49",1,7,39,250000,7,1,9,5,345255.00781361
"50",2,7,78,80000,1,1,6,2,110481.602500355
"51",1,7,62,250000,7,1,9,2,345255.00781361
"52",1,7,45,252000,7,1,9,4,348017.047876119
"53",1,7,45,250000,7,1,13,4,345255.00781361
"54",2,7,49,1450000,3,1,12,5,2002479.04531894
"55",1,7,53,2e+06,7,1,7,1,2762040.06250888
"56",1,7,49,8e+05,7,1,11,5,1104816.02500355
"57",2,7,60,170000,7,1,14,5,234773.405313255
"58",1,7,61,3e+05,7,1,11,2,414306.009376332
"59",1,7,61,3e+05,7,1,9,2,414306.009376332
"60",2,7,63,3e+05,7,1,9,2,414306.009376332
"61",1,7,40,260000,7,1,9,5,359065.208126154
"62",2,7,36,3e+05,7,1,11,5,414306.009376332
"63",1,7,34,331682.693154403,6,1,15,2,458060.44326665
"64",2,7,30,3e+05,7,1,11,5,414306.009376332
"65",1,7,61,1e+06,7,1,17,3,1381020.03125444
"66",2,7,58,9e+05,7,1,13,4,1242918.028129
"67",2,7,28,250000,7,1,17,1,345255.00781361
"68",1,7,31,4e+05,7,1,13,5,552408.012501776
"69",2,7,29,330000,7,1,11,3,455736.610313965
"70",1,7,36,5e+05,7,1,13,5,690510.01562722
"71",1,7,49,5e+05,7,1,9,4,690510.01562722
"72",1,7,30,701613,7,1,12,5,968941.607188521
"73",1,7,63,238750,7,1,8,2,329718.532461997
"74",2,7,21,205392,7,1,11,5,283650.466259412
"75",1,7,24,331682.693154403,7,1,11,5,458060.44326665
"76",1,7,68,2e+05,7,1,8,2,276204.006250888
"77",1,7,38,3e+05,7,1,11,5,414306.009376332
"78",2,7,25,5e+05,7,1,15,5,690510.01562722
"79",2,7,38,180000,7,1,9,5,248583.605625799
"80",2,7,53,1e+05,6,1,9,2,138102.003125444
"81",1,7,56,5e+05,7,1,7,2,690510.01562722
"82",1,7,24,260000,7,1,12,5,359065.208126154
"83",1,7,35,3e+06,7,1,17,3,4143060.09376332
"84",2,7,32,850000,7,1,15,5,1173867.02656627
"85",1,7,58,2e+05,7,1,7,5,276204.006250888
"86",2,7,29,1e+05,7,1,13,2,138102.003125444
"87",1,7,56,135000,7,1,9,5,186437.704219349
"88",2,7,59,240000,7,1,9,5,331444.807501065
"89",1,7,21,120000,7,1,9,5,165722.403750533
"90",1,7,39,350000,7,1,9,5,483357.010939054
"91",1,7,21,250000,7,1,11,5,345255.00781361
"92",1,7,46,9e+05,7,1,13,5,1242918.028129
"93",1,7,37,3e+05,7,1,7,5,414306.009376332
"94",2,7,24,280000,7,1,11,5,386685.608751243
"95",1,7,37,1200000,7,1,13,5,1657224.03750533
"96",2,7,38,650000,2,1,15,5,897663.020315386
"97",1,7,28,350000,7,1,11,5,483357.010939054
"98",2,7,29,130000,7,1,7,5,179532.604063077
"99",1,7,67,8e+05,7,1,14,5,1104816.02500355
"100",1,7,18,120000,7,1,9,5,165722.403750533
"101",2,7,63,150000,7,1,9,2,207153.004688166
"102",2,7,48,245000,7,1,11,5,338349.907657338
"103",1,7,21,420000,7,1,9,8,580028.413126865
"104",2,7,41,1e+06,7,1,15,4,1381020.03125444
"105",2,7,55,275111,7,1,13,5,379933.80181844
"106",1,7,42,252000,6,1,9,5,348017.047876119
"107",2,7,40,7e+05,6,1,15,3,966714.021878108
"108",1,7,48,1e+06,7,1,15,4,1381020.03125444
"109",2,7,39,7e+05,7,1,11,4,966714.021878108
"110",1,7,66,247000,7,1,7,5,341111.947719847
"111",2,7,44,50000,6,1,11,5,69051.001562722
"112",1,7,53,450000,7,1,9,5,621459.014064498
"113",1,7,49,520000,7,1,7,5,718130.416252309
"114",2,7,59,57000,6,1,9,5,78718.141781503
"115",2,7,35,4e+05,7,1,11,5,552408.012501776
"116",1,7,63,250000,5,1,7,5,345255.00781361
"117",2,7,63,80000,1,1,7,1,110481.602500355
"118",2,7,31,80000,7,1,11,1,110481.602500355
"119",1,7,47,350000,7,1,9,5,483357.010939054
"120",1,7,58,550000,7,1,7,5,759561.017189942
"121",1,7,33,8e+05,7,1,13,5,1104816.02500355
"122",2,7,26,120000,7,1,12,5,165722.403750533
"123",1,7,56,2e+05,7,1,9,5,276204.006250888
"124",1,7,45,280000,7,1,9,5,386685.608751243
"125",1,7,23,1e+06,7,1,14,5,1381020.03125444
"126",2,7,25,3e+05,7,1,15,2,414306.009376332
"127",1,7,23,350000,7,1,9,3,483357.010939054
"128",1,7,23,2e+05,7,1,14,5,276204.006250888
"129",1,7,31,6e+05,7,1,9,5,828612.018752664
"130",2,7,33,5e+05,7,1,12,5,690510.01562722
"131",1,7,36,325000,7,1,15,5,448831.510157693
"132",1,7,60,5e+05,7,1,9,3,690510.01562722
"133",2,7,59,6e+05,7,1,13,3,828612.018752664
"134",1,7,68,6e+05,7,1,14,2,828612.018752664
"135",2,7,49,4e+05,7,1,15,3,552408.012501776
"136",1,7,56,5e+05,7,1,15,3,690510.01562722
"137",1,7,44,8e+05,7,1,11,5,1104816.02500355
"138",1,7,37,4e+05,7,1,9,5,552408.012501776
"139",1,7,66,225000,7,1,7,3,310729.507032249
"140",1,7,70,80000,1,1,8,2,110481.602500355
"141",1,7,23,450000,7,1,9,5,621459.014064498
"142",2,7,72,3e+05,1,1,6,2,414306.009376332
"143",1,7,63,150000,7,1,9,2,207153.004688166
"144",1,7,63,1e+05,7,1,9,2,138102.003125444
"145",2,7,66,180000,7,1,9,2,248583.605625799
"146",1,7,38,380000,7,1,9,5,524787.611876687
"147",1,7,41,8e+05,7,1,15,4,1104816.02500355
"148",1,7,18,331682.693154403,7,1,11,2,458060.44326665
"149",1,7,67,2e+05,7,1,8,2,276204.006250888
"150",2,7,66,30000,7,1,7,5,41430.6009376332
"151",2,7,27,9e+05,7,1,15,4,1242918.028129
"152",2,7,53,705639,7,1,15,5,974501.593834351
"153",1,7,48,250000,7,1,7,5,345255.00781361
"154",2,7,64,80000,1,1,8,2,110481.602500355
"155",1,7,25,331682.693154403,7,1,9,5,458060.44326665
"156",2,7,72,60000,7,1,6,2,82861.2018752664
"157",2,7,39,393506,7,1,11,5,543439.668418809
"158",1,7,51,250000,7,1,9,5,345255.00781361
"159",2,7,48,210000,7,1,7,3,290014.206563432
"160",2,7,29,130000,7,1,7,2,179532.604063077
"161",2,7,57,1e+05,7,1,9,7,138102.003125444
"162",1,7,41,6e+05,7,1,15,5,828612.018752664
"163",2,7,35,2e+05,7,1,9,2,276204.006250888
"164",2,7,58,15000,1,1,7,2,20715.3004688166
"165",1,7,57,245000,7,1,7,3,338349.907657338
"166",2,7,45,245000,7,1,11,5,338349.907657338
"167",1,7,48,320000,7,1,11,5,441926.410001421
"168",1,7,52,331682.693154403,7,1,7,5,458060.44326665
"169",2,7,51,60000,7,1,7,2,82861.2018752664
