"","sexo","region","edad","yoprcor","s31_1","s31_2","s31_3","s31_4","s31_5","s31_6","s31_7","area","e6a","o15","s31"
"1",1,7,59,1e+06,0,0,0,0,0,0,1,1,9,5,7
"2",2,7,60,4e+05,1,0,0,0,0,0,0,1,9,3,1
"3",1,7,52,350000,1,0,0,0,0,0,0,1,7,5,1
"4",2,7,51,499691.966803432,1,0,0,0,0,0,0,1,11,2,1
"5",1,7,26,255000,0,0,0,0,0,0,1,1,9,5,7
"6",1,7,24,750000,0,0,0,0,0,0,1,1,9,5,7
"7",1,7,22,499691.966803432,0,0,0,0,0,0,1,1,9,2,7
"8",1,7,52,5e+05,0,0,0,0,0,0,1,1,7,5,7
"9",1,7,53,4e+05,0,0,0,0,0,0,1,1,7,5,7
"10",2,7,56,4e+05,0,0,0,0,0,0,1,1,7,4,7
"11",1,7,26,4e+05,0,0,0,0,0,0,1,1,12,5,7
"12",2,7,25,550000,0,0,0,0,0,0,1,1,12,3,7
"13",1,7,62,648315,0,0,0,0,0,0,1,1,9,5,7
"14",2,7,48,250000,0,0,0,0,0,0,1,1,7,7,7
"15",1,7,21,2e+05,0,0,0,0,0,0,1,1,9,2,7
"16",2,7,49,2e+05,1,0,0,0,0,0,0,1,9,2,1
"17",1,7,50,6e+05,0,0,0,0,0,0,1,1,9,5,7
"18",1,7,24,4e+05,0,0,0,0,0,0,1,1,13,5,7
"19",2,7,41,4e+05,0,0,0,0,0,0,1,1,13,1,7
"20",1,7,60,4e+05,0,0,0,0,0,0,1,1,9,5,7
"21",2,7,36,550000,0,0,0,0,0,0,1,1,11,5,7
"22",1,7,40,4e+05,0,0,0,0,0,0,1,1,11,5,7
"23",1,7,49,4e+05,0,0,0,0,0,0,1,1,7,5,7
"24",1,7,36,480000,0,0,0,0,0,0,1,1,13,2,7
"25",2,7,72,150000,0,0,0,0,0,0,1,1,8,2,7
"26",2,7,57,325000,0,0,0,0,0,0,1,1,9,6,7
"27",2,7,63,1900000,0,0,0,0,0,0,1,1,13,3,7
"28",2,7,44,499691.966803432,0,0,0,0,0,0,1,1,7,5,7
"29",2,7,27,499691.966803432,0,0,0,0,0,0,1,1,9,5,7
"30",2,7,38,380000,0,0,0,0,0,0,1,1,9,5,7
"31",1,7,52,410000,0,0,0,0,0,0,1,1,7,5,7
"32",1,7,70,2e+05,0,0,0,0,0,0,1,1,6,1,7
"33",1,7,30,380000,0,0,0,0,0,0,1,1,9,5,7
"34",1,7,37,7e+05,0,0,0,0,0,0,1,1,11,5,7
"35",1,7,42,499691.966803432,0,0,0,0,0,0,1,1,9,5,7
"36",2,7,56,7e+05,0,0,0,0,0,0,1,1,13,5,7
"37",1,7,48,8e+05,0,0,0,0,0,0,1,1,7,2,7
"38",1,7,26,550000,0,0,0,0,0,0,1,1,12,2,7
"39",1,7,25,5e+05,0,0,0,0,0,0,1,1,9,5,7
"40",2,7,49,470000,0,0,0,0,0,0,1,1,12,3,7
"41",2,7,24,5e+05,0,0,0,0,0,0,1,1,12,5,7
"42",1,7,48,386000,0,0,0,0,0,0,1,1,11,3,7
"43",1,7,77,8e+05,0,0,0,0,0,0,1,1,8,2,7
"44",2,7,25,280000,0,0,0,0,0,0,1,1,12,5,7
"45",1,7,26,4e+05,0,0,0,0,0,0,1,1,13,5,7
"46",2,7,43,480000,0,0,0,0,0,0,1,1,9,3,7
"47",2,7,51,4e+05,0,0,0,0,0,0,1,1,9,5,7
"48",1,7,57,440000,1,0,0,0,0,0,0,1,7,5,1
"49",2,7,22,550000,0,0,0,0,0,0,1,1,11,8,7
"50",1,7,26,1115522,0,0,0,0,0,0,1,1,9,8,7
"51",1,7,42,5e+05,0,0,0,0,0,0,1,1,7,5,7
"52",1,7,62,1600000,0,0,0,0,0,1,0,1,11,5,6
"53",1,7,43,1900000,0,0,0,0,0,0,1,1,9,5,7
"54",2,7,42,350000,0,0,0,0,0,0,1,1,12,2,7
"55",2,7,59,7e+05,0,0,0,0,0,0,1,1,12,5,7
"56",2,7,44,4e+05,0,0,0,0,0,0,1,1,14,5,7
"57",2,7,38,6e+05,0,0,0,0,0,0,1,1,12,2,7
"58",1,7,63,381000,0,0,0,0,0,0,1,1,9,3,7
"59",2,7,57,4e+05,0,0,0,0,0,0,1,1,9,3,7
"60",2,7,26,6e+05,0,0,0,0,0,0,1,1,13,4,7
"61",2,7,54,7e+05,0,0,0,0,0,0,1,1,12,5,7
"62",2,7,53,4e+05,0,0,0,0,0,0,1,1,11,5,7
"63",1,7,50,5e+05,0,0,0,0,0,0,1,1,12,2,7
"64",2,7,46,230000,0,0,0,0,0,0,1,1,12,5,7
"65",1,7,20,180000,0,0,0,0,0,0,1,1,11,5,7
"66",2,7,56,1334471,0,0,0,0,0,0,1,1,12,1,7
"67",1,7,59,450000,0,0,0,0,0,0,1,1,9,5,7
"68",1,7,29,450000,0,0,0,0,0,0,1,1,12,5,7
"69",2,7,55,650000,0,0,0,0,0,0,1,1,11,5,7
"70",1,7,57,7e+05,0,0,0,0,0,0,1,1,7,2,7
"71",1,7,28,850000,0,0,0,0,0,0,1,1,13,3,7
"72",2,7,41,2e+05,0,0,0,0,0,0,1,2,9,3,7
"73",1,7,43,4e+05,0,0,0,0,0,0,1,2,9,5,7
"74",1,7,43,5e+05,0,0,0,0,0,0,1,2,9,5,7
"75",1,7,42,6e+05,0,0,0,0,0,0,1,2,7,5,7
"76",1,7,48,250000,0,0,0,0,0,0,1,2,7,2,7
"77",2,7,43,250000,0,0,0,0,0,0,1,2,9,2,7
"78",1,7,54,560000,0,0,0,0,0,0,1,2,7,5,7
"79",1,7,56,4e+05,0,0,0,0,0,0,1,2,9,5,7
"80",1,7,23,4e+05,0,0,0,0,0,0,1,2,9,5,7
"81",1,7,50,6e+05,0,0,0,0,0,0,1,2,7,5,7
"82",2,7,29,4e+05,0,0,0,0,0,0,1,2,9,5,7
"83",1,7,64,4e+05,0,0,0,0,0,0,1,2,7,2,7
"84",2,7,50,4e+05,0,0,0,0,0,0,1,2,7,5,7
"85",1,7,48,550000,0,0,0,0,0,0,1,2,9,5,7
"86",2,7,55,3e+05,0,0,0,0,0,0,1,2,9,2,7
"87",1,7,49,1e+05,0,0,0,0,0,0,1,1,7,2,7
"88",2,7,49,385000,0,0,0,0,0,0,1,1,7,1,7
"89",1,7,27,4e+05,0,0,0,0,0,0,1,1,13,5,7
"90",1,7,54,3e+05,0,0,0,0,0,0,1,1,7,2,7
"91",2,7,53,150000,0,0,0,0,0,0,1,1,7,2,7
"92",1,7,32,6e+05,0,0,0,0,0,0,1,1,12,2,7
"93",1,7,79,6e+05,0,0,0,0,0,0,1,1,7,2,7
"94",1,7,33,2e+05,0,0,0,0,0,0,1,1,9,2,7
"95",1,7,41,80000,0,0,0,0,0,0,1,1,7,2,7
"96",2,7,40,5e+05,0,0,0,0,0,0,1,1,12,3,7
"97",2,7,29,450000,0,0,0,0,0,0,1,1,12,4,7
"98",1,7,30,6e+05,0,0,0,0,0,0,1,1,9,5,7
"99",1,7,53,250000,0,0,0,0,0,0,1,1,7,2,7
"100",2,7,23,650000,0,0,0,0,0,0,1,1,13,3,7
"101",1,7,61,3e+05,0,0,0,0,0,0,1,1,9,5,7
"102",1,7,47,90000,0,0,0,0,0,0,1,1,7,2,7
"103",2,7,61,61953,0,0,0,0,0,0,1,1,7,2,7
"104",1,7,27,650000,0,0,0,0,0,0,1,1,11,5,7
"105",2,7,38,4e+05,0,0,0,0,0,0,1,1,9,5,7
"106",1,7,30,350000,0,0,0,0,0,0,1,1,13,5,7
"107",1,7,23,360000,1,0,0,0,0,0,0,1,9,5,1
"108",1,7,55,1e+05,0,0,0,0,0,0,1,1,9,2,7
"109",2,7,52,132000,0,0,0,0,0,0,1,1,9,5,7
"110",2,7,68,450000,0,0,0,0,0,0,1,1,9,5,7
"111",1,7,50,1500000,0,0,0,0,0,0,1,1,9,4,7
"112",1,7,55,40000,0,0,0,0,0,0,1,1,7,2,7
"113",2,7,46,5e+05,0,0,0,0,0,0,1,1,9,5,7
"114",2,7,29,4e+05,0,0,0,0,0,0,1,1,9,5,7
"115",1,7,25,4e+05,0,0,0,0,0,0,1,1,12,5,7
"116",1,7,70,4e+05,0,0,0,0,0,0,1,1,7,3,7
"117",1,7,63,4e+05,0,0,0,0,0,0,1,1,7,3,7
"118",2,7,60,90000,0,0,0,0,1,0,0,1,7,3,5
"119",1,7,53,5e+05,0,0,0,0,0,0,1,1,7,1,7
"120",1,7,36,6e+05,0,0,0,0,0,0,1,1,9,5,7
"121",1,7,57,270000,0,0,0,0,1,0,0,1,7,5,5
"122",1,7,60,5e+05,0,0,0,0,0,0,1,1,9,5,7
"123",1,7,31,4e+05,0,0,0,0,0,0,1,1,11,2,7
"124",1,7,78,2e+05,0,0,0,0,0,0,1,1,7,2,7
"125",2,7,58,1e+05,1,0,0,0,0,1,0,2,7,2,1
"126",2,7,34,934653,0,0,0,0,0,0,1,2,13,3,7
"127",1,7,58,250000,0,0,0,0,0,0,1,2,7,5,7
"128",1,7,20,250000,0,0,0,0,0,0,1,2,7,5,7
"129",2,7,60,25000,0,0,0,0,0,1,0,2,7,2,6
"130",1,7,50,499691.966803432,0,0,0,0,0,1,0,2,9,2,6
"131",2,7,57,3e+05,0,0,0,0,0,0,1,2,9,7,7
"132",1,7,63,3e+05,0,0,0,0,0,0,1,1,7,2,7
"133",2,7,26,499691.966803432,0,0,0,0,0,0,1,1,11,5,7
"134",1,7,65,380000,0,0,0,0,0,0,1,1,7,5,7
"135",1,7,50,450000,1,0,0,0,0,0,0,1,7,5,1
"136",2,7,29,3e+05,0,0,0,0,0,0,1,1,11,2,7
"137",2,7,54,4e+05,0,0,0,0,0,0,1,2,9,5,7
"138",1,7,33,410000,0,0,0,0,0,0,1,2,11,5,7
"139",1,7,21,3e+05,0,0,0,0,0,0,1,2,11,2,7
"140",1,7,57,4e+05,0,0,0,0,0,0,1,2,7,1,7
"141",2,7,61,1e+05,0,0,0,0,0,1,0,2,7,2,6
"142",2,7,60,160000,0,0,0,0,0,0,1,2,9,5,7
"143",1,7,60,8e+05,0,0,0,0,0,0,1,2,7,5,7
"144",1,7,49,6e+05,0,0,0,0,0,0,1,2,7,5,7
"145",1,7,39,6e+05,0,0,0,0,0,0,1,2,9,2,7
"146",1,7,34,960000,0,0,0,0,0,0,1,2,11,4,7
"147",1,7,28,1e+06,0,0,0,0,0,0,1,1,13,5,7
"148",2,7,51,150000,0,0,0,0,0,0,1,1,9,1,7
"149",2,7,53,3e+05,0,0,0,0,0,0,1,1,7,5,7
"150",1,7,29,380000,0,0,0,0,0,0,1,1,9,5,7
"151",2,7,44,230000,0,0,0,0,0,0,1,1,7,5,7
"152",1,7,47,4e+05,0,0,0,0,0,0,1,1,7,5,7
"153",2,7,42,580000,0,0,0,0,0,0,1,1,11,5,7
"154",2,7,41,380000,0,0,0,0,0,0,1,1,9,5,7
"155",1,7,22,450000,0,0,0,0,0,0,1,1,11,5,7
"156",1,7,56,4e+05,0,0,0,0,0,0,1,1,7,5,7
"157",1,7,30,420000,0,0,0,0,0,0,1,2,11,5,7
"158",1,7,59,4e+05,1,0,0,0,0,0,0,2,7,4,1
"159",2,7,32,450000,0,0,0,0,0,0,1,2,9,5,7
"160",1,7,60,4e+05,0,0,0,0,0,0,1,2,7,2,7
"161",2,7,64,4e+05,0,0,0,0,0,0,1,2,6,5,7
"162",1,7,52,4e+05,0,0,0,0,0,0,1,2,7,5,7
"163",2,7,42,4e+05,0,0,0,0,0,0,1,1,9,5,7
"164",2,7,57,350000,0,0,0,0,0,0,1,1,7,5,7
"165",1,7,36,4e+05,0,0,0,0,0,0,1,1,9,5,7
"166",1,7,33,350000,0,0,0,0,0,0,1,1,9,5,7
"167",2,7,31,499691.966803432,0,0,0,0,0,0,1,1,9,5,7
"168",2,7,41,420000,0,0,0,0,0,0,1,1,11,5,7
"169",2,7,38,3e+05,0,0,0,0,0,0,1,1,9,7,7
"170",1,7,41,3e+05,0,0,0,0,0,0,1,1,13,2,7
"171",1,7,76,3e+05,0,0,0,0,0,0,1,1,6,2,7
"172",2,7,52,350000,0,0,0,0,0,0,1,1,9,5,7
"173",2,7,28,330000,0,0,0,0,0,0,1,1,12,3,7
"174",1,7,20,4e+05,0,0,0,0,0,0,1,1,9,5,7
"175",2,7,31,550000,0,0,0,0,0,0,1,1,13,5,7
"176",1,7,49,499691.966803432,0,0,1,0,0,0,0,1,9,5,3
"177",1,7,24,4e+05,0,0,0,0,0,0,1,1,9,5,7
"178",1,7,48,5e+05,0,0,0,0,0,0,1,1,7,5,7
"179",1,7,40,7e+05,0,0,0,0,0,0,1,1,13,5,7
"180",2,7,42,4e+05,0,0,0,0,0,0,1,1,12,2,7
